Author Name,Author Username,Tweet Crea,ted At,Tweet Text,Likes,Retweets,Replies,Quotes,Impressions,Bookmark Count
Bobby Lombardi,MediaTechBobby,4/10/2024,01:38:07+00:00,WTAF Arizona!,0,0,0,0,0,0
Puppet Trump,Pee4Putin,4/10/2024,01:38:06+00:00,"Arizona #VoteBlueToProtectYourRights 

Just 1 example: You have a miscarriage. Your doctor would normally prescribe an abortion pill which allows your body to expel the remaining DEAD fetal tissue. Otherwise that stuff stays in you and can make you very sick. That option gone.",0,0,0,0,0,0
Lance Martin,LanceMa24992615,4/10/2024,01:38:00+00:00,As it stands now in Arizona y'all if you are black Asian Indian y'all can't do anything for white peopl y'all are living in 1856 law's A man can marry a 10 yr old girl At the moment in Arizona No woman's Reproductive health &amp; certainly not for black Asian Indian voter's No rights,0,0,0,0,0,0
Marc,GDoc2001,4/10/2024,01:37:42+00:00,"So Arizona is resurrecting an anti-abortion law that dates back to a time when people still owned slaves and women had hardly any rights. 
I guess the Arizona Supreme Court was feeling nostalgic when it rendered its decision.",1,0,0,0,6,0
Linda Riley,LindaRi12288416,4/10/2024,01:37:40+00:00,"When Mitch McConnell  was majority leader during the Obama presidency he intentionally blocked Obama from appointing judges Merrick Garland being one Obama left office with vacant federal judiciary position. The Arizona abortion ban, is a direct result of Mitches work PERIOD",0,0,0,0,4,0
Bill Hinds,billhinds302,4/10/2024,01:37:39+00:00,"There is a flood of people bitching and moaning about some 1864 Arizona Supreme Court ruling on X tonight. My question to all of you posting how much this upsets you, do you actually live in the state of Arizona?",0,0,0,0,3,0
Reed Galen,reedgalen,4/10/2024,01:37:35+00:00,"By @realDonaldTrump’s transitive property, he supports today’s #arizona #AbortionBan. 

Leave it to the states, right dullard?",2,2,0,0,98,0
mswyrr (#lisafrankenstein spoilers),mswyrr,4/10/2024,01:37:24+00:00,"cis male pundits going ""here's how this can help Biden in November! 🤓👍"" about arizona owe an apology to everyone who is going to be hurt by this between now and then",0,0,0,0,2,0
x - amelie or alex 🏳️‍🌈🏒,am_1634,4/10/2024,01:37:19+00:00,One of my coworkers is going to Arizona tomorrow for a week and I’ve had to be so quiet about that and not be like HEY DID U KNOW SOME OF MY FAV HOCKEY PLAYERS ARE FROM ARIZONA,0,0,0,0,2,0
mal1976retaf,mal1976retaf,4/10/2024,01:37:14+00:00,"Of 300,000 jobs cadaver in chief crowed about creating, half were government jobs &amp; the remaining went to H, L visa holders and illegal aliens (all cheap labor Biden voters). 6 Billion to Arizona chip company is former Solyndra CEO who bankrupted company and is Biden buddy.",0,0,0,0,5,0
Earwig Hrothgarsen,LittleWingRae,4/10/2024,01:37:01+00:00,"The Arizona situation is bringing out the crazies today.

Great bolshy Bog Allmächtig ...",0,0,0,0,3,0
egg,erikaxkarina,4/10/2024,01:36:57+00:00,i hate arizona,0,0,0,0,3,0
Onna Block Tv™,Onnablocktv,4/10/2024,01:36:52+00:00,"PHOENIX — The Arizona Supreme Court ruled Tuesday that a 160-year-old near-total abortion ban still on the books in the state is enforceable, a bombshell decision that adds the state to the growing lists of places where abortion care is effectively banned.",0,0,0,0,7,0
Michael Lev,MichaelJLev,4/10/2024,01:36:45+00:00,"Arizona DL Ta'ita'i Uiagalelei says his first name means ""leader.""",1,0,0,0,62,0
chanelly welly,zoadolls,4/10/2024,01:36:16+00:00,watermelon arizona u will forever be great,0,0,0,0,4,0
PERSISTERHOOD,EWADJD_D,4/10/2024,01:36:15+00:00,A law upheld that was passed when Arizona was not yet a State &amp; before Women &amp; Black people could vote. And we were worried about the #MAGAts-GOP taking us back to the 1950s??? HAND MAIDS TALE ON STEROIDS!,0,0,0,0,4,0
tiramisu,tyrabaee,4/10/2024,01:36:01+00:00,Abortion is banned in Arizona lmaoooo get real we’re going back to the dark days,0,0,0,0,2,0
CornLox MLB Betting,CornLoxBB,4/10/2024,01:35:56+00:00,"Arizona has such a strong lineup at the dish. They have had tough matchups so 4-7 looks weak. That’s why I look into more than just the numbers 🔍 
🚨 Pay attention to their following series’ and you will be on the right track.",0,0,0,0,1,0
Kevin Nash,RealKevinNash,4/10/2024,01:35:45+00:00,"Arizona,which became a state in 1912, upholds 1864 abortion law. In related news, it's now legal to have  gunfights at high noon as long as it's one on one and the participants wear cowboy hats.",68,7,2,0,1784,1
Lord Ballsley,Lord_Ballsley,4/10/2024,01:35:40+00:00,"Arizona governor currently;
""If we can't kill our babies then who's babies can we kill!"" (paraphrased)",0,0,0,0,4,0
Kathy Larzelere,klarzelere65,4/10/2024,01:35:32+00:00,"Dear Arizona Legislature and Supreme Court:  If you want to live in the 1800's, I would suggest you start wearing the clothing appropriate for the time.  IT will get really warm in the summer!",0,0,0,0,5,0
Kiki's House,HausenKiki,4/10/2024,01:35:28+00:00,"Arizona SCOTUS has turned women into second class citizens. It's a tough pill to swallow to realize you no longer have full human rights. This will not stand, we will fight back! Our daughters must not have fewer rights than we did. 
#RoevemberIsComing",0,0,0,0,10,0
TB 🧸,TheReal_TB_,4/10/2024,01:35:24+00:00,I was gave a deadline of midnight 😒🫠 &amp; idk if that’s Michigan time or Arizona time 🤷🏽‍♀️😅😂,0,0,0,0,7,0
GOAZCATS.com,GOAZCATScom,4/10/2024,01:35:21+00:00,"""It's been a lot of learning."" 

- Ta'ita'i Uiagalelei on his time so far at Arizona

He added that he learned a lot under Taylor Upshaw.",2,0,0,0,37,0
MaryK Myal,MaryKMyal,4/10/2024,01:34:49+00:00,"I never thought that in all my existence &amp; growing up in Arizona, that my rights as a woman, just got rolled back before my state became a state. From today’s ruling, the rest of the country cannot just sit &amp; think it won’t happen to them…because it can. My rights should be",0,0,1,0,12,0
Kam 🐡,Icy_Rapture,4/10/2024,01:34:10+00:00,it’s raining harder than i’ve ever seen and i’ve been through insane monsoon seasons in arizona,0,0,0,0,57,0
R׳s,P39170r,4/10/2024,01:34:08+00:00,"CNN — 
The Arizona Supreme Court ruled Tuesday the state must adhere to a 160-year-old law barring all abortions except in cases when “it is necessary to save” a pregnant person’s life – a significant ruling that will make a Civil War-era abortion law enforceable in the state.",0,0,1,0,9,0
Mama F.I.N.E,55andwhat,4/10/2024,01:34:05+00:00,"Trump knew about Arizona ruling today. That was why yesterday he gave that useless speech about abortion. Women never forget Trump bragged about how he helped end  Roe vs. Wade, &amp; he supports the national abortion ban. #VoteBlueToProtectWomenRights #VoteBlue2024ProtectDemocracy",0,0,0,0,17,0
🇵🇸BunnyWolf :3🔆 🏳️‍⚧️,MommyAyumi,4/10/2024,01:33:43+00:00,Leta go back to Arizona where the land awaits us!,0,0,0,0,10,0
Double Jay 🐳,runwithwrink,4/10/2024,01:33:39+00:00,"Florida, Arizona, who's next? Hell hath no fury like a woman scorned! It is ALL about the women stupid! #VoteBlue2024ProtectDemocracy",0,0,0,0,4,0
Amy FastRunningRiver 🦋,AmyFastRiver7,4/10/2024,01:33:19+00:00,Welcome to Arizona:  the state that hates teachers AND women.,0,0,0,0,7,0
Nes◟̽◞̽🔜EDC,RiddimBaby_,4/10/2024,01:33:15+00:00,"Do you know what fuck Arizona! 
I hate it here. All the men should take birth control  fr let’s see how y’all old ass dinosaurs feel taking birth control and getting your hormones all fucked up. let’s just give it to men for fun just so they can see what it’s like.",0,0,0,0,20,0
Tristan Snell,TristanSnell,4/10/2024,01:33:13+00:00,"So Arizona applies an 1864 law to strip women’s rights and privilege rapists over women — and that’s apparently ok

But Colorado applied an 1866 constitutional amendment to remove an insurrectionist from the ballot — and that was apparently NOT ok?

Got it.",244,82,15,2,2707,6
Suzy Q ✨🌈,SuzyQuzey,4/10/2024,01:33:03+00:00,I think Arizona has now surpassed Texas and Florida in being the worst state. And it was a very low bar.,0,0,0,0,7,0
QuoteDigger,QuoteDigging,4/10/2024,01:32:52+00:00,"Both Ruben Gallego and Kari Lake say they oppose Arizona's 160-year-old abortion ban. The difference is Gallego opposes the ban because it will hurt women while Lake is saying she opposes the ban because it'll hurt her election chances.

--@covie_93",5,0,0,0,110,0
Steven Slaton,SteveSlatonAZ,4/10/2024,01:32:48+00:00,"Arizona has always been a pro life state and our laws reflected it. It wasn't until the Federal Government and the US Supreme Court hijacked our laws did abortion become ""legal"" in Arizona. I stand with the Arizona Supreme Court and it's upholding the Arizona state abortion ban… https://t.co/EqGxahE0F6",0,0,0,1,15,0
Jonathan Bowen,BostonByBirth,4/10/2024,01:32:46+00:00,The Arizona Supreme Court upheld a law.,0,0,0,0,15,0
Bob Bartlett,bbart3156,4/10/2024,01:32:39+00:00,Ok Arizona legislature it's time to act. Repeal the 1864 abortion law.,0,0,0,0,5,0
Jim Horn,jamesehorn_,4/10/2024,01:32:29+00:00,"Today, the Arizona Supreme Court announced the reinstatement of an 1864 law that criminalizes abortion care of any kind, except to save the life of the mother.",0,0,0,0,3,0
ohhillturtle,ohHillturtle,4/10/2024,01:32:16+00:00,"See, the people booing tonight. Are not the same people booing the Arizona 2nd loss. Fucking bullshit",0,0,0,0,15,0
Awkward Lefty Enterprise,TheAwkwardLefty,4/10/2024,01:32:05+00:00,"Party like its 1864🤢b/c thats logical. Not a good day for Arizona women. Nor🇺🇲 truly horrible. ""Emerging CONfederacy""well said @alexwagner @MSNBC #VoteBlueToProtectWomen
*#shall consider @DNC @dccc failing to place ""abortion"" upon 24 ballot, in every State~ political malpractice",0,0,0,0,12,0
ronald humphrey,HumphreyRonald,4/10/2024,01:31:59+00:00,"These women on the Arizona court still letting old White men tell them how to think;with no mind of they're own like little maids went against they're children, grandchildren and every women struggling for freedom of they're own bodies,alas they still act like kept women.",1,1,0,0,6,0
Dillon 🤙 🇺🇦,dillon_kunz,4/10/2024,01:31:47+00:00,"My rankings:

UCONN
Houston 
Alabama 
Purdue
Tennessee 
Nc st
UNC
Gonzaga 
Texas A&amp;M
Clemson 
Creighton 
SDSU
Oakland 
Illinois 
Iowa st
Duke
Arizona 
Grand Canyon 
Baylor 
Texas Tech
SMC
Marquette 
Auburn 
Texas
CU",0,0,1,0,22,0
Laura Chapin,LauraChapin,4/10/2024,01:31:22+00:00,"One of the thing a good campaign staff does is think ahead &amp; anticipate potential problems.
Like, maybe, anticipating that w the Arizona Supreme Court poised to decide on an 1864 abortion ban law it's not a good time to center your message on 'returning abortion to the states'.",1,0,0,0,84,0
Mark Bechtel,markymark757,4/10/2024,01:31:18+00:00,"MSNBC
Arizona, Florida, and Alabama create abortion chaos. Arizona Court cites the absence of federal right to abortion in it's ruling today.  Arizona opts for a near total abortion ban. 
#TrumpDidThis",0,0,0,0,23,0
Andrew,andrew_r_a_,4/10/2024,01:31:13+00:00,"Well, thanks Republicans! Now Democrats will win Arizona in November for SURE. 👏😎🤷🫣 #Arizona #AbortionIsHealthcare #AbortionRights #AbortionBan #Dems4Rights #Dems4ReproductiveRights #Democrats #Biden2024 #BidenHarris2024 #TrumpForPrison #RepublicansAreTheProblem",0,0,0,0,4,0
Michael Lev,MichaelJLev,4/10/2024,01:31:03+00:00,"Arizona DL Joe Seumalo has high praise for DT Isaiah Johnson and DE Tre Smith. Says Johnson has the ability to ""get vertical"" despite (or because of?) his 6-1, 305-pound frame. Called Smith, the transfer from SJSU, a ""scary dude."" (That's a good thing.)",3,1,0,0,328,0
Brian Pedersen,realBJP,4/10/2024,01:30:50+00:00,Arizona D-line coach Joe Seumalo says he's living with ex-UA assistant Rich Ellerson while looking for a home,2,1,0,0,350,0
🇺🇸 Rishi Kumar 🇺🇸,rishikumar1,4/10/2024,01:30:46+00:00,"Arizona Supreme Court’s decision to enforce a law from 1864, banning nearly all abortions, is beyond disappointing. It’s a step backward in time, disregarding women’s rights and progress. #ArizonaAbortionBan #WomensRights",0,0,0,0,20,0
Deirdre🍎🌵💙🌊,azdedo,4/10/2024,01:30:42+00:00,"If you personally wouldn’t have an abortion, but you believe others can make their own decisions….THAT IS PRO CHOICE. 

And Arizona just took away that choice for EVERY woman.  Order your bonnets!  🤬🤬🤬#ArizonaSupremeCourt",5,0,0,0,22,0
Old Man Lefty,OldManLefty1,4/10/2024,01:30:18+00:00,Arizona reinstated an abortion ban that predates the invention of the light bulb..,7,0,2,0,50,0
Jason Scheer,jasonscheer,4/10/2024,01:30:14+00:00,"Arizona defensive line coach Joe Seumalo does not have a house in Tucson yet, so he’s living with former Arizona DC Rich Ellerson.",5,1,1,0,1321,0
57th Overlanders,57thOverlanders,4/10/2024,01:30:02+00:00,"The Arizona territory included part of Nevada in 1864. So does this AZ supreme court abortion ruling apply to that part of Nevada too?
So stupid. Why does a state have to follow laws from before it became a state?",0,0,0,0,14,0
Chaos ✨,GoodMorningKat,4/10/2024,01:29:47+00:00,I’m so beside myself that Arizona is putting this bill into place. Abortion is and will always be necessary healthcare. Get these old rats out of office.,1,0,0,0,23,0
Covie,covie_93,4/10/2024,01:29:34+00:00,Both Ruben Gallego and Kari Lake say they oppose Arizona's 160-year-old abortion ban. The difference is Gallego opposes the ban because it will hurt women while Lake is saying she opposes the ban because it'll hurt her election chances.,70,17,4,1,943,1
🔥Qbert Cobain🔥 (Alpha Male),QbertCobain,4/10/2024,01:29:29+00:00,"Can't wait to jail every doctor in Arizona

Can we citizens arrest them now to make it happen sooner?",0,0,0,0,13,0
W. Brian Tucker,MeLoseBrainUhOh,4/10/2024,01:29:26+00:00,Arizona's star on the flag is more of an asterisk. #WagnerTonight,4,0,1,0,9,0
Aaron (Aria) Schenk 🌈,SchenkAaron12,4/10/2024,01:29:13+00:00,Women in Arizona can't have Abortions. You can get rape and the rapists can get away with it. As a women I urge all women to leave Arizona. If you become pregnant the birthing person will be forced to give birth!,0,0,0,0,7,0
MLB Home Runs ⚾️,MLBHR101,4/10/2024,01:29:12+00:00,Randal Grichuk - Arizona Diamondbacks (1) Solo,1,0,0,0,28,0
🇺🇸 Rishi Kumar 🇺🇸,rishikumar1,4/10/2024,01:29:01+00:00,"“Arizona Supreme Court’s decision to enforce a law from 1864, banning nearly all abortions, is beyond disappointing. It’s a step backward in time, disregarding women’s rights and progress. #ArizonaAbortionBan #WomensRights”",0,0,0,0,13,0
L,sparkleighhh,4/10/2024,01:28:54+00:00,"Fuc! you, Arizona #protectwomen #protectreproductiverights #proroe",0,0,0,0,8,0
Del of berts ⚪🌑⚫,gamerhardG,4/10/2024,01:28:26+00:00,The dnc really just banned abortion in Arizona and blamed trump,2,0,0,0,12,0
The Zack Report,ZackReport,4/10/2024,01:28:05+00:00,I am very closed to saying Arizona is lean D. So very close. But I have to see any good Biden polls first.,0,0,0,0,4,0
Walter Shapiro,MrWalterShapiro,4/10/2024,01:28:04+00:00,"For all the importance of the Arizona abortion decision, April 9 will always be remembered as the day the Orioles called up Jackson Holliday.",5,0,1,0,333,0
jacqueline barley,jackbarley,4/10/2024,01:28:04+00:00,"This is scary 😱 Reverting to an 1864 law in Arizona, just like that, makes me think about slavery, which was abolished in 1865. Is it possible to do the same for slavery? Very scary times we are in. #1864  #slavery",0,0,0,0,5,0
MPMesq,Lawmamabear1,4/10/2024,01:27:59+00:00,"No reasonable person expected Arizona’s abortion ban to go into effect.

The same could also be said for Georgia’s, which was enacted in 2019 when it was preempted by Roe.

One of these states has the ability to put the issue on the ballot in November. 😭",0,0,0,0,16,0
TheValuesVoter (Also on Threads and BlueSky),TheValuesVoter,4/10/2024,01:27:52+00:00,"Beyond whatever impact the Arizona Supreme Court decision might have on the Presidential and Senatorial elections in AZ this year, there were two U.S. House races in 2022 which Republicans just barely won. #AZ01 and #AZ06. They might be even more vulnerable now.",6,1,1,0,178,0
Ellsworth Green,GreenEllsworth,4/10/2024,01:27:39+00:00,When will Arizona get it out of their asses this 1864 law and start becoming a viable State of the US again?,5,0,0,0,126,0
H R Wells,Herbwells7,4/10/2024,01:27:20+00:00,Wow😳! arizona has just slithered back into the UN-civil war era.these sad rotten republican clowns🤡of the UN-supreme ct.have lost their small minds &amp; have become the alabama bastards of tha west &amp; destroyed women’s rights!these stupid old men have become traitors to humanity.,1,1,0,0,7,0
Stephen Lenarz,slenarz,4/10/2024,01:27:18+00:00,By the way all seven members of the Arizona supreme Court were appointed by Republicans. Please women and men that care about their wives and daughters please vote Republicans out!,0,0,0,0,9,0
EdFatherOfCats,EdFatherOfCats,4/10/2024,01:27:08+00:00,"Anyone have any doubts about how SCOTUS will rule on the Comestack Act after today's decision by the Arizona Supreme Court? 
I don't!
Biden should announce he will Expand SCOTUS to 12 judges in July. 
That would protect women right and win the election.",12,1,2,0,117,0
Michael Lev,MichaelJLev,4/10/2024,01:26:23+00:00,"Arizona DL coach Joe Seumalo is talking a lot about the D-line having an aggressive, attacking mindset vs. playing gaps. He's said ""just go"" multiple times during his post-practice media session.",8,1,0,0,420,0
Arizona AFL-CIO,ArizonaAFLCIO,4/10/2024,01:26:04+00:00,"🚨 Urgent Action Needed 🚨 SCR 1040 threatens tipped workers' livelihoods in Arizona! Passed in the House, it likely faces a final Senate vote tomorrow. Stand together to oppose! ⤵️Write your rep NOW, urge them to VOTE NO on SCR 1040. #ProtectTippedWorkers #UnionStrong #1u ⤵️⤵️",1,1,1,0,157,0
Twilight Zone,DaTwilightZone,4/10/2024,01:25:55+00:00,"Not to distract from the subject at hand, but I have a feeling Ron DeSantis is sitting in the Florida state archives, leafing through Civil War era legislation, hoping to find something similar to the 1864 Arizona law...",0,0,0,0,34,0
twilight2000,twilight2000,4/10/2024,01:25:50+00:00,on what possible legal basis does the Arizona state supreme court say that a law from 160 years ago supersedes a law from 2 years ago?,0,0,0,0,6,0
David Thornton (PilotPundit) 🇺🇸🌻🇺🇦 🇮🇱,captainkudzu,4/10/2024,01:25:38+00:00,The Arizona Supreme Court decision is not going to help Republicans in the state this November.,7,2,2,0,122,0
Javier Morales,JavierJMorales,4/10/2024,01:25:36+00:00,"With the amount of local softball talent year after year, hard to believe NM State has only one player from Southern Arizona - Sabino graduate Riley Carley. 
Arizona leads NM State 9-3 in the fifth inning of the second game of a doubleheader. The Wildcats won the first game 17-8. https://t.co/kyoWjJv2lI",1,0,0,1,337,0
Anne Fausto-Sterling,Fausto_Sterling,4/10/2024,01:25:29+00:00,Re Arizona Supreme Court. The state legislature could repeal this law. Don’t let them off the hook. #freeabortionondemand,1,0,0,0,118,0
counselorRick,CapriolaRichard,4/10/2024,01:25:28+00:00,"Arizona is a good example of what happens when you ""leave it to the states.""",1,0,0,0,11,0
bbear1116,bbear111670,4/10/2024,01:25:23+00:00,"The Arizona Supreme Court has decided that a very old abortion law still stands.  The Democrats are outraged of course.  The remedy is for the Arizona legislators, and the Arizona governor to repeal and replace the old abortion law.  Simple.",2,0,0,0,21,0
Will Barfield,CoachBarfieldII,4/10/2024,01:24:48+00:00,"Coaching Resume:
 
*University Of Arizona 2014 (Free Safety)
*All Army Team 2015-16 (Corner/WR)
Army MidWest Team 2017 (DC)
Mountain Pointe HS 2018-19 (JV DC)
Desert Vista HS 2022 (FROSH WR Coach)
Desert Vista HS 2024 (FROSH OC)

*Player",0,0,0,0,7,0
Gretchen Neuman,Mamandesfilles,4/10/2024,01:24:28+00:00,What are @MayoClinic thoughts on whether #AbortionIsHealthcare? You operate in #Florida AND #Arizona Will women be bleeding to death in the parking lots of your #worldclass institutions?,0,0,1,0,9,0
Reform Gov,ReformLAGov,4/10/2024,01:24:20+00:00,Why stop at 1864 #Arizona? You could bring back some laws from 1564 and wrap some witch regulations into this hot mess.,1,0,0,0,8,0
texas roadhouse of representatives,CrankyComrade,4/10/2024,01:24:06+00:00,Um im sorry did you know Arizona banned abortion?,0,0,1,0,33,0
Jambre,Jambreman,4/10/2024,01:23:52+00:00,"Thanks to Joe Biden, Republicans will have plenty of job options come November. #Arizona #GOPWarOnWomen #VoteThemAllOut #VoteBlueDownBallot",0,0,0,0,14,0
Real Mike 🇨🇦🇺🇦 Fake Ezzie,fakeezzie,4/10/2024,01:23:33+00:00,"Like a runaway southbound train
Like an Arizona desert rain
Like lightning in the sky
Like fireworks in July
Like a left field home run ball
Like a whiskey shot at last call
It's like she was made for moving on
That girl is going, going, gone",1,0,0,0,53,0
Danielle Bainks,BainksDanielle,4/10/2024,01:23:24+00:00,"I'm selling Phoenix Suns tickets for tonight game against LA Clippers at Footprint Center in Phoenix Arizona We couldn't attend the game anymore and our seats are in Lower Level 114 Row 3 Dm if you're interested #PhoenixSuns #NBA 
#Phoenix #Arizona
#Tickets",0,0,0,0,25,0
MaskedSanity™,MaskedSanity,4/10/2024,01:22:27+00:00,Today's ruling in Arizona is a perfect example of how #OutOfTouch the Right Wing is with society.,0,0,0,0,11,0
Federico 🌊🌊🌊,OglyFederico,4/10/2024,01:22:17+00:00,"From now on we are back to 1864, so, any legal issue in Arizona will be settled at the OK Corral.",0,0,0,0,14,0
ofdbdg61 fire@gmail.com,Ofdbdg61F,4/10/2024,01:22:04+00:00,"Arizona the new Mississippi, ass backwards , check the the newabortion laes",0,0,0,0,4,0
John Wildbore,JohnWildbo35040,4/10/2024,01:21:53+00:00,"PEOPLE ARE MAKING A STINK ABOUT THE ARIZONA SUPREME COURTS DECISION.  I WOULD RATHER HAVE A WOMAN SHOOT AN ATTEMPTING RAPIST, THEN KILL AN INNOCENT PERSON. WHEN A WOMAN IS PREGNANT,  THAT IS A PERSON INSIDE OF HER. WHEN A HORSE IS PREGNANT,  THAT IS A BABY HORSE INSIDE OF IT.… https://t.co/YGRb4D7OLd",1,0,0,0,11,0
Porsche Hartwig,HartwigPor1017,4/10/2024,01:21:52+00:00,"I'm selling Phoenix Suns tickets for tonight game against LA Clippers at Footprint Center in Phoenix Arizona We couldn't attend the game anymore and our seats are in Lower Level 114 Row 3 Dm if you're interested #PhoenixSuns #NBA 
#Phoenix #Arizona
#Tickets",0,0,1,0,37,0
NM State Softball,NMStateSoftball,4/10/2024,01:21:46+00:00,"Jaileen Mancha enters the game and gets the Aggies out of the inning with just five pitches.

M5 | Arizona 9, NM State 3

#AggieUp",2,1,0,0,114,0
Lestat's Wolves,lestat_s50586,4/10/2024,01:21:38+00:00,"I think the Arizona Spreme Court may have just got Genocide Joe elected to a second term today with that ruling on abortions in that state.

An 1864 law or something crazy like that... the Republicans are stuck with this loser prolife sctick they married themselves to.",0,0,0,0,2,0
Jeff Roush,JeffRoushPoetry,4/10/2024,01:21:09+00:00,"I’ve seen a great deal of anger and anxiety about the Arizona Supreme Court’s opinion today in Planned Parenthood v. Mayes/Hazelrigg. You’re right to feel angry and anxious—but I’d like to offer a side of hope and an exhortation. (Thread)
#ResistanceJustice 
#DemVoice1",18,10,1,0,463,0
Drunk Piñata,PinataDrunk,4/10/2024,01:20:44+00:00,"The Arizona court decision on abortion has establishment law fare written all over it. In my opinion, they are trying to boost democrat turnout for the general election. Why would their Supreme Court undo modern policy only to use a law from 1864 which predates the state’s own… https://t.co/rChjV3aLXo",3,3,0,0,52,0
Liberty&Freedom,Liberty2Bfree,4/10/2024,01:20:31+00:00,"PROOF!

REPUBLICANS “HATE WOMEN”!

They’re in STATE  LEGISLATURES 

JUST SO THEY CAN CONTROL 

WOMEN!

Arizona Republicans HAVE A Republican Supreme Court that just decided 

160 yr old OLD will STAND to CONTROL AZ WOMEN &amp; their RIGHT TO CONTROL THEIR BODIES!

VOTE for DEMOCRATS!",7,4,0,0,106,0
IkeRep,IkeIsBased,4/10/2024,01:20:19+00:00,Joe Biden has won Arizona in November. It is absolutely confirmed at this point.,5,0,0,0,60,0
Mary Jo Pitzl,maryjpitzl,4/10/2024,01:20:18+00:00,"New motto for Arizona in light of the impact of the 1864 abortion ban getting new life: ""Arizona is not for lovers."" h/t to @amandaluberto",4,0,1,0,197,0
The Possibilitarian 🐾,Yes2Possible,4/10/2024,01:19:55+00:00,Aaaand just like that I scratched of Arizona as a place to live. Fuck that shit.,1,0,0,0,10,0
Drunk Piñata,PinataDrunk,4/10/2024,01:19:52+00:00,"The Arizona court decision on abortion has establishment law fare written all over it. In my opinion, they are trying to boost democrat turnout for the general election. Why would their Supreme Court undo restrictions to a law from 1864 which predates the state’s own annexation… https://t.co/cVtXQzSuxy",0,0,0,0,11,0
NV Senate Democrats,NVSenateDems,4/10/2024,01:19:49+00:00,"🧵The recent decision by the Arizona Supreme Court upheld a 160-year-old law that bans abortions and punishes doctors who provide them, saying the ban that existed before Arizona became a state can be enforced going forward. ⬇️",4,2,1,0,144,0
US & World News,Criticalanglez,4/10/2024,01:19:46+00:00,"When a solid ballot measure guaranteeing reproductive and bodily autonomy rights to women, is on the ballot in Arizona, every registered voter should be allowed to VOTE on it, except republicans not born in 1864!",0,0,0,0,14,0
nomad_noworries 🌊,laughlines,4/10/2024,01:19:43+00:00,"February 14, 1912 #Arizona was given statehood. The AZ Supreme Court used a law from 1846 to ban abortion today. A law that was in place 65 yrs prior to AZ statehood. 

#TrumpDidThis",1,0,0,0,63,0
Tristan Snell,TristanSnell,4/10/2024,01:19:36+00:00,"The Florida Supreme Court ensured a Dem-leaning wave will turn out in Florida this fall — swinging Florida to Biden

Now the Arizona Supreme Court ensured a Dem-leaning wave will turn out in Arizona this fall — swinging Arizona to Biden

Be careful what you wish for, GQP",688,153,29,6,9262,7
Michael Battista,MichaelBattis12,4/10/2024,01:18:58+00:00,"Last post for tonight 
November 2024 
Biden wins Florida and Arizona",0,0,0,0,8,0
Schneider,schneiderjes1,4/10/2024,01:18:44+00:00,"Arizona enforcing a law from a time when women couldn’t vote and slaves were still held captive.  Supreme Court justices citing law from the Middle Ages to justify state authority over women’s bodies. 

The American Taliban is alive and well in the Republican party folks.  VOTE!",0,0,0,0,11,0
Marsha-calm&upset,CalmUpset,4/10/2024,01:18:39+00:00,"To all Americans: 
When the full devastating consequences of this Healthcare &amp; Abortion Ban that Judges(of Trump’s) have put through in ARIZONA today, come to pass, DO NOT blame this on Dems or ACA, this is TRUMP, GOP &amp; JUSTICES! When U can’t GET IN to a Dr, BLAME Trump &amp; the GOP",1,0,0,0,20,0
CK70Here,Ck70H,4/10/2024,01:18:31+00:00,"Doug douche @DougDucey appointed the 4 morons voting for the ban, Lopez, Bolick, Beene &amp; King. The 5th douche appointee,  Montgomery, eventually recused himself due to his anti abortion FB post. Two of these LOSERS are up for reelection... Bolick and King!
#Arizona vote them out!",1,1,1,0,14,0
Rick G. Rosner,dumbassgenius,4/10/2024,01:18:05+00:00,"Hey super-creeps!
Wanna make a kid who has 3/4ths of your genes?
Move to Arizona. Impregnate your kid. It's now illegal for her to get an abortion! No exceptions for rape or incest!
Thanks, Arizona extremist pieces of crap!

Vote against Trump and the GOP. They did this!",8,1,2,0,332,0
Ramblermania,ramblermania,4/10/2024,01:17:46+00:00,"If Arizona wants to live in 1864, they have no need for chip plants. Illinois would gladly host a high-tech chip plant.",0,0,0,0,48,0
Erika Ferrari,ErikaFe42180772,4/10/2024,01:17:37+00:00,"Today, Arizona's Supreme Court decision becomes the most draconian law against women's rights. They based their decision on an 1864 law banning abortion with no exceptions.",0,0,0,0,11,0
Stephen Lenarz,slenarz,4/10/2024,01:17:36+00:00,Wouldn't it be great if Arizona Republicans had to pay for the education that doctors had to get to perform Healthcate on pregnant  women. Because obviously their education isn't helping them nor is it helping women who need care during a pregnancy. The cruelty is unbelievable.,1,0,0,0,25,0
WWG1WGA,wwg17wga,4/10/2024,01:17:25+00:00,"What happened today in Arizona was amazing! I hope every state will soon follow.

#SaveTheBabies",0,0,0,0,14,0
Captain Obvious™️,TheFungi669,4/10/2024,01:17:15+00:00,I want to thank the Arizona Supreme Court for ensuring a Biden win in Arizona.,89,7,3,0,700,0
